Brand,Name,Category,Colors,Price,Sizes,Count_Sizes,Color_Name,product_Code,Review,Rating,Features,Comfort
Woodland,Woodland Camel Trekking Shoes,Men,3.0,2 297,5.0,"['41', '42', '43', '44', '45']",CAMEL,FGC0L80R7421Z,NA,NA,"Step out in this rugged casual outdoor activity shoes with stitching pattern lace loops details and a wear resistant nubuck top. The grooved abrasion resistant rubber outsole has deep lugs that provides an excellent traction on muddy and rocky terrains and PU foam insole padding providing cushion and comfort. The EVA midsole acts as a shock absorber and the cushioned collars give support to ankles and helps in foot movement. The shoe also features Woodland branding on sides and on outsole.
Product Features:
Rubber outsole.
Full Insole
EVA midsole","Step out in this rugged casual outdoor activity shoes with stitching pattern lace loops details and a wear resistant nubuck top. The grooved abrasion resistant rubber outsole has deep lugs that provides an excellent traction on muddy and rocky terrains and PU foam insole padding providing cushion and comfort. The EVA midsole acts as a shock absorber and the cushioned collars give support to ankles and helps in foot movement. The shoe also features Woodland branding on sides and on outsole.
Product Features: Rubber outsole. Full Insole EVA midsole"
Woodland,Khaki Hiking Boot,Men,3.0,2 427,3.0,"['42', '43', '45']",KHAKI,FGC0L4001101C,NA,NA,"Sturdy pair of mid-top boots in khaki colour from Woodland is made from the finest quality of buff nubuck. The shoes feature a lace-up style with heavy duty rust free metal eyelets for the laces, a midsole that gives cushioning and the collars are cushioned that gives support to ankles. The shoes with traction and deep lugs on the rubber outsoles are suitable for outdoor activities and provides grip on rugged terrain.
Features:
Buff Nubuck
Midsole
Rust free eyelets
Cushioned collars",Buff Nubuck Midsole Rust free eyelets Cushioned collars
Woodland,Navy Boot For Men,Men,4.0,5 995,7.0,"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC015050091A,NA,NA,"This durable walking boot is built for comfort and protection on uneven trail, built with nubuck the navy boot is set on traction-ready rubber sole with deep multidirectional lugs. The boot for men features a full aero cat insole, a toe cap, supportive cushioning on collar and tongue, mesh detail on upper that keeps the boot ventilated, pull tab on rear and tongue and a molded midsole that acts as a shock absorber. The lace-up style boot is finished with Woodland branding on side and on tongue.
Material:-
Nubuck
Sole - Rubber
Insole - Full Aero Cat",Nubuck Sole - Rubber Insole - Full Aero Cat
Woodland,Woodland SNAYPE Hiking Boots,Men,2.0,2 700,4.0,"['39', '40', '41', '42']",SNAYPE,FGC099009251D,NA,NA,"Snaype colored robust and rugged pair of high ankle casual outdoor activity shoes crafted out of a wear resistant nubuck upper. The anti-corrosive metal fittings and the cushioned tongue protects your feet from lace pressure. The grooved Rubber sole with deep lugs provides an excellent traction on muddy and rocky terrains the EVA midsole acts as a shock absorber and the cushioned collars give support to ankles and helps in foot movement. It is a tough shoe for traveling over steep rocky terrains with high level of comfort provided by the insole sheet.
Product features:
Rubber sole
Anti-corrosive metal fittings
Cushioned collar support","Snaype colored robust and rugged pair of high ankle casual outdoor activity shoes crafted out of a wear resistant nubuck upper. The anti-corrosive metal fittings and the cushioned tongue protects your feet from lace pressure. The grooved Rubber sole with deep lugs provides an excellent traction on muddy and rocky terrains the EVA midsole acts as a shock absorber and the cushioned collars give support to ankles and helps in foot movement. It is a tough shoe for traveling over steep rocky terrains with high level of comfort provided by the insole sheet.
Product features: Rubber sole Anti-corrosive metal fittings Cushioned collar support"
Woodland,Cashew Brown Boot For Men,Men,2.0,3 034,4.0,"['40', '41', '42', '43']",CASHEW BROWN,FGC015034851A,NA,NA,"Take on the day with both style and comfort in this cashew brown boot from Woodland. Set on a durable rubber and phylon outsole and shock absorbing midsole, the boot features a lace-up design, perforation on sides that keeps the shoe breathable, cushioning on collar and a pull tab on rear that makes it easy to slide into the shoe. The shoe has deep lugs on outsole offering a good tread making it ideal outdoor activities.
Material:
Nubuck
Outsole: Rubber/Phylon
Insole: Rubberized foam",Nubuck Outsole: Rubber/Phylon Insole: Rubberized foam
Woodland,Camel Nubuk Oily Polished Mens Boot,Men,3.0,4 384,7.0,"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0AA050061A,NA,NA,"Head out in style and experience ultimate comfort by wearing these trendy menâs ankle boots in camel colour designed by Woodland. The pair features a high-quality nubuck upper and a strong and slip-resistant sole which ensures high traction on all surfaces. The contrast laces lend an extra touch of style to these sturdy boots. Highly durable, the pair can withstand maximum wear and tear and thus be with you for a longer period of time.",
Woodland,Olive Green Boot For Men,Men,2.0,2 589,5.0,"['41', '42', '43', '44', '45']",OLIVE GREEN,FGC0V70R7981Z,NA,NA,"Durable lace-up boot offers excellent traction and is engineered from nubuck. Featuring high ankle silhouette the olive green boot from Woodland is set on hardwearing rubber and phylon outsole with shock absorbing midsole, it features cushioning around collars that offers support to ankles and on tongue to protect feet from lace pressure. The boot comes with the iconic Woodland branding on tongue, a toe cap, pull tab on rear and has multidirectional lugs on outsole making the boot an easy choice for hikes on a difficult terrain.
Material:
Nubuck
Outsole: Rubber/Phylon
Insole: Moulded Socks",Nubuck Outsole: Rubber/Phylon Insole: Moulded Socks
Woodland,Olive Green Shoe For Men,Men,3.0,2 535,2.0,"['42', '43']",OLIVE GREEN,FGC015035031A,NA,NA,"Sturdy olive green shoe for men is engineered from durable nubuck and comes in a lace-up style. The shoe features a toe cap that protects the shoe upper from abrasion, cushioned tongue and collars that protect foot from lace pressure and give support to ankles, D-ring lacing, molded midsole that protects your foot from shock and rubber outsole with multidirectional lugs on it that provides excellent traction on all surfaces. The leather insole on the shoe provides extra insulation and cushioning to the foot.
Material:
Nubuck
Outsole: Rubber
Insole: Leather",Nubuck Outsole: Rubber Insole: Leather
Woodland,Camel Boots For Men,Men,2.0,6 995,7.0,"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0D4050181A,NA,NA,"Durable outsole with grippy treads gears you for all outdoor adventure in this robust boot crafted from a premium leather. The round-toe camel boot for men comes in a high-top silhouette, has d-ring metal eyelets, cushioned collar and tongue, pull tab on rear and is set on a stacked heel.
Material:-
Leather",Leather
Woodland,Woodland Olive Green Trekking Casual Shoes,Men,3.0,2 967,1.0,['45'],OLIVE GREEN,FGC0150R7481Z,NA,NA,"Get this robust and rugged pair of high ankle casual outdoor activity shoes with an all-over solid pattern and lace-up details with anti-corrosive metal fittings on top to protect your feet from lace pressure and a wear resistant Nubuck upper. The grooved RPA sole and shock absorbing midsole allows you to climb and brake effortlessly providing an excellent traction on muddy and rocky terrains. It is a tough shoe for traveling over steep, rocky terrains with high level of comfort provided by the insole sheet. The shoe also features a contrasting color cushioned collar support that helps foot movement
Product features:
RPA sole
Anti-corrosive metal fittings
Cushioned collar support",RPA sole Anti-corrosive metal fittings Cushioned collar support
